Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,1.0,1.0,0.0,0.0
2020-01-31,1.0,1.0,0.0,0.0
2020-02-01,1.0,1.0,0.0,0.0
2020-02-02,2.0,2.0,0.0,0.0
2020-02-03,3.0,3.0,0.0,0.0
2020-02-04,3.0,3.0,0.0,0.0
2020-02-05,3.0,3.0,0.0,0.0
2020-02-06,3.0,3.0,0.0,0.0
2020-02-07,3.0,3.0,0.0,0.0
2020-02-08,3.0,3.0,0.0,0.0
2020-02-09,3.0,3.0,0.0,0.0
2020-02-10,3.0,3.0,0.0,0.0
2020-02-11,3.0,3.0,0.0,0.0
2020-02-12,3.0,3.0,0.0,0.0
2020-02-13,3.0,3.0,0.0,0.0
2020-02-14,3.0,3.0,0.0,0.0
2020-02-15,3.0,3.0,0.0,0.0
2020-02-16,0.0,3.0,0.0,3.0
2020-02-17,0.0,3.0,0.0,3.0
2020-02-18,0.0,3.0,0.0,3.0
2020-02-19,0.0,3.0,0.0,3.0
2020-02-20,0.0,3.0,0.0,3.0
2020-02-21,0.0,3.0,0.0,3.0
2020-02-22,0.0,3.0,0.0,3.0
2020-02-23,0.0,3.0,0.0,3.0
2020-02-24,0.0,3.0,0.0,3.0
2020-02-25,0.0,3.0,0.0,3.0
2020-02-26,0.0,3.0,0.0,3.0
2020-02-27,0.0,3.0,0.0,3.0
2020-02-28,0.0,3.0,0.0,3.0
2020-02-29,0.0,3.0,0.0,3.0
2020-03-01,0.0,3.0,0.0,3.0
2020-03-02,2.0,5.0,0.0,3.0
2020-03-03,2.0,5.0,0.0,3.0
2020-03-04,25.0,28.0,0.0,3.0
2020-03-05,27.0,30.0,0.0,3.0
2020-03-06,28.0,31.0,0.0,3.0
2020-03-07,31.0,34.0,0.0,3.0
2020-03-08,36.0,39.0,0.0,3.0
2020-03-09,40.0,43.0,0.0,3.0
2020-03-10,52.0,56.0,0.0,4.0
2020-03-11,57.0,62.0,1.0,4.0
2020-03-12,68.0,73.0,1.0,4.0
2020-03-13,76.0,82.0,2.0,4.0
2020-03-14,96.0,102.0,2.0,4.0
2020-03-15,98.0,113.0,2.0,13.0
2020-03-16,104.0,119.0,2.0,13.0
2020-03-17,125.0,142.0,3.0,14.0
2020-03-18,139.0,156.0,3.0,14.0
2020-03-19,175.0,194.0,4.0,15.0
2020-03-20,219.0,244.0,5.0,20.0
2020-03-21,303.0,330.0,4.0,23.0
2020-03-22,362.0,396.0,7.0,27.0
2020-03-23,462.0,499.0,10.0,27.0
2020-03-24,486.0,536.0,10.0,40.0
2020-03-25,602.0,657.0,12.0,43.0
2020-03-26,662.0,727.0,20.0,45.0
2020-03-27,794.0,887.0,20.0,73.0
2020-03-28,879.0,987.0,24.0,84.0
2020-03-29,902.0,1024.0,27.0,95.0
2020-03-30,1117.0,1251.0,32.0,102.0
2020-03-31,1239.0,1397.0,35.0,123.0
2020-04-01,1792.0,1998.0,58.0,148.0
2020-04-02,2280.0,2543.0,72.0,191.0
2020-04-03,2303.0,2567.0,72.0,192.0
2020-04-04,2767.0,3082.0,86.0,229.0
2020-04-05,3260.0,3588.0,99.0,229.0
2020-04-06,4267.0,4778.0,136.0,375.0
2020-04-07,4740.0,5311.0,150.0,421.0
2020-04-08,5232.0,5916.0,178.0,506.0
2020-04-09,5879.0,6725.0,226.0,620.0
2020-04-10,6578.0,7598.0,246.0,774.0
2020-04-11,7189.0,8446.0,288.0,969.0
2020-04-12,7794.0,9205.0,331.0,1080.0
2020-04-13,8914.0,10453.0,358.0,1181.0
2020-04-14,9735.0,11487.0,393.0,1359.0
2020-04-15,10485.0,12322.0,405.0,1432.0
2020-04-16,11214.0,13430.0,448.0,1768.0
2020-04-17,11825.0,14352.0,486.0,2041.0
2020-04-18,12738.0,15722.0,521.0,2463.0
2020-04-19,14202.0,17615.0,559.0,2854.0
2020-04-20,14674.0,18539.0,592.0,3273.0
2020-04-21,15460.0,20080.0,645.0,3975.0
2020-04-22,16319.0,21370.0,681.0,4370.0
2020-04-23,17344.0,23077.0,721.0,5012.0
2020-04-24,18252.0,24530.0,780.0,5498.0
2020-04-25,19519.0,26283.0,825.0,5939.0
2020-04-26,20486.0,27890.0,881.0,6523.0
2020-04-27,21375.0,29451.0,939.0,7137.0
2020-04-28,22569.0,31324.0,1008.0,7747.0
2020-04-29,23546.0,33062.0,1079.0,8437.0
2020-04-30,24641.0,34863.0,1154.0,9068.0
2020-05-01,26027.0,37257.0,1223.0,10007.0
2020-05-02,27557.0,39699.0,1323.0,10819.0
2020-05-03,29339.0,42505.0,1391.0,11775.0
