Time,Active,Confirmed,Deaths,Recovered
2020-01-22,503.0,548.0,17.0,28.0
2020-01-23,595.0,643.0,18.0,30.0
2020-01-24,858.0,920.0,26.0,36.0
2020-01-25,1325.0,1406.0,42.0,39.0
2020-01-26,1970.0,2075.0,56.0,49.0
2020-01-27,2737.0,2877.0,82.0,58.0
2020-01-28,5277.0,5509.0,131.0,101.0
2020-01-29,5834.0,6087.0,133.0,120.0
2020-01-30,7835.0,8141.0,171.0,135.0
2020-01-31,9375.0,9802.0,213.0,214.0
2020-02-01,11357.0,11891.0,259.0,275.0
2020-02-02,15806.0,16630.0,361.0,463.0
2020-02-03,18677.0,19716.0,425.0,614.0
2020-02-04,22373.0,23707.0,491.0,843.0
2020-02-05,25762.0,27440.0,563.0,1115.0
2020-02-06,28477.0,30587.0,633.0,1477.0
2020-02-07,31393.0,34110.0,718.0,1999.0
2020-02-08,33413.0,36814.0,805.0,2596.0
2020-02-09,35705.0,39829.0,905.0,3219.0
2020-02-10,37424.0,42354.0,1012.0,3918.0
2020-02-11,38638.0,44386.0,1112.0,4636.0
2020-02-12,38560.0,44759.0,1117.0,5082.0
2020-02-13,52309.0,59895.0,1369.0,6217.0
2020-02-14,56860.0,66358.0,1521.0,7977.0
2020-02-15,57452.0,68413.0,1663.0,9298.0
2020-02-16,57992.0,70513.0,1766.0,10755.0
2020-02-17,58108.0,72434.0,1864.0,12462.0
2020-02-18,58002.0,74211.0,2003.0,14206.0
2020-02-19,56541.0,74619.0,2116.0,15962.0
2020-02-20,54825.0,75077.0,2238.0,18014.0
2020-02-21,54608.0,75550.0,2238.0,18704.0
2020-02-22,51859.0,77001.0,2443.0,22699.0
2020-02-23,51390.0,77022.0,2445.0,23187.0
2020-02-24,49631.0,77241.0,2595.0,25015.0
2020-02-25,47413.0,77754.0,2665.0,27676.0
2020-02-26,45365.0,78166.0,2717.0,30084.0
2020-02-27,42924.0,78600.0,2746.0,32930.0
2020-02-28,39809.0,78928.0,2790.0,36329.0
2020-02-29,37199.0,79356.0,2837.0,39320.0
2020-03-01,34898.0,79932.0,2872.0,42162.0
2020-03-02,32368.0,80136.0,2914.0,44854.0
2020-03-03,29864.0,80261.0,2947.0,47450.0
2020-03-04,27402.0,80386.0,2983.0,50001.0
2020-03-05,25230.0,80537.0,3015.0,52292.0
2020-03-06,23702.0,80690.0,3044.0,53944.0
2020-03-07,22159.0,80770.0,3072.0,55539.0
2020-03-08,20335.0,80823.0,3100.0,57388.0
2020-03-09,18933.0,80860.0,3123.0,58804.0
2020-03-10,17567.0,80887.0,3139.0,60181.0
2020-03-11,16116.0,80921.0,3161.0,61644.0
2020-03-12,14859.0,80932.0,3172.0,62901.0
2020-03-13,13569.0,80945.0,3180.0,64196.0
2020-03-14,12124.0,80977.0,3193.0,65660.0
2020-03-15,10783.0,81003.0,3203.0,67017.0
2020-03-16,9906.0,81033.0,3217.0,67910.0
2020-03-17,9030.0,81058.0,3230.0,68798.0
2020-03-18,8106.0,81102.0,3241.0,69755.0
2020-03-19,7372.0,81156.0,3249.0,70535.0
2020-03-20,6731.0,81250.0,3253.0,71266.0
2020-03-21,6189.0,81305.0,3259.0,71857.0
2020-03-22,5799.0,81435.0,3274.0,72362.0
2020-03-23,5410.0,81498.0,3274.0,72814.0
2020-03-24,5030.0,81591.0,3281.0,73280.0
2020-03-25,4603.0,81661.0,3285.0,73773.0
2020-03-26,4310.0,81782.0,3291.0,74181.0
2020-03-27,3881.0,81897.0,3296.0,74720.0
2020-03-28,3600.0,81999.0,3299.0,75100.0
2020-03-29,3236.0,82122.0,3304.0,75582.0
2020-03-30,2967.0,82198.0,3308.0,75923.0
2020-03-31,2764.0,82279.0,3309.0,76206.0
2020-04-01,2640.0,82361.0,3316.0,76405.0
2020-04-02,2545.0,82432.0,3322.0,76565.0
2020-04-03,2425.0,82511.0,3326.0,76760.0
