Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0
2020-03-03,1.0,1.0,0.0,0.0
2020-03-04,1.0,1.0,0.0,0.0
2020-03-05,1.0,1.0,0.0,0.0
2020-03-06,2.0,2.0,0.0,0.0
2020-03-07,8.0,8.0,0.0,0.0
2020-03-08,11.0,12.0,1.0,0.0
2020-03-09,11.0,12.0,1.0,0.0
2020-03-10,16.0,17.0,1.0,0.0
2020-03-11,18.0,19.0,1.0,0.0
2020-03-12,18.0,19.0,1.0,0.0
2020-03-13,29.0,31.0,2.0,0.0
2020-03-14,31.0,34.0,2.0,1.0
2020-03-15,42.0,45.0,2.0,1.0
2020-03-16,53.0,56.0,2.0,1.0
2020-03-17,63.0,68.0,2.0,3.0
2020-03-18,74.0,79.0,2.0,3.0
2020-03-19,91.0,97.0,3.0,3.0
2020-03-20,122.0,128.0,3.0,3.0
2020-03-21,151.0,158.0,4.0,3.0
2020-03-22,259.0,266.0,4.0,3.0
2020-03-23,294.0,301.0,4.0,3.0
2020-03-24,329.0,387.0,6.0,52.0
2020-03-25,327.0,387.0,8.0,52.0
2020-03-26,430.0,502.0,9.0,63.0
2020-03-27,504.0,589.0,13.0,72.0
2020-03-28,600.0,690.0,18.0,72.0
2020-03-29,654.0,745.0,19.0,72.0
2020-03-30,569.0,820.0,23.0,228.0
2020-03-31,787.0,1054.0,27.0,240.0
2020-04-01,778.0,1054.0,28.0,248.0
2020-04-02,841.0,1133.0,36.0,256.0
2020-04-03,960.0,1265.0,39.0,266.0
2020-04-04,1129.0,1451.0,43.0,279.0
2020-04-05,1127.0,1451.0,44.0,280.0
2020-04-06,1181.0,1554.0,48.0,325.0
2020-04-07,1234.0,1628.0,56.0,338.0
2020-04-08,1294.0,1715.0,63.0,358.0
2020-04-09,1358.0,1795.0,72.0,365.0
2020-04-10,1518.0,1975.0,82.0,375.0
2020-04-11,1452.0,1975.0,83.0,440.0
2020-04-12,1584.0,2142.0,90.0,468.0
2020-04-13,1596.0,2208.0,97.0,515.0
2020-04-14,1616.0,2277.0,102.0,559.0
2020-04-15,1736.0,2443.0,111.0,596.0
2020-04-16,1825.0,2571.0,115.0,631.0
2020-04-17,1880.0,2669.0,123.0,666.0
2020-04-18,1944.0,2758.0,129.0,685.0
2020-04-19,1998.0,2839.0,132.0,709.0
2020-04-20,2068.0,2941.0,136.0,737.0
2020-04-21,2044.0,3031.0,147.0,840.0
2020-04-22,2120.0,3144.0,152.0,872.0
2020-04-23,2351.0,3435.0,165.0,919.0
2020-04-24,2455.0,3607.0,176.0,976.0
2020-04-25,2565.0,3780.0,185.0,1030.0
2020-04-26,2593.0,3892.0,192.0,1107.0
2020-04-27,2666.0,4003.0,197.0,1140.0
2020-04-28,2758.0,4127.0,207.0,1162.0
2020-04-29,2879.0,4285.0,214.0,1192.0
2020-04-30,2954.0,4428.0,218.0,1256.0
2020-05-01,3015.0,4532.0,225.0,1292.0
2020-05-02,3124.0,4681.0,237.0,1320.0
2020-05-03,3183.0,4783.0,246.0,1354.0
2020-05-04,3185.0,4887.0,260.0,1442.0
2020-05-05,3284.0,5020.0,264.0,1472.0
2020-05-06,3411.0,5208.0,273.0,1524.0
2020-05-07,3488.0,5371.0,282.0,1601.0
2020-05-08,3659.0,5611.0,293.0,1659.0
2020-05-09,3748.0,5776.0,300.0,1728.0
2020-05-10,3972.0,6034.0,305.0,1757.0
2020-05-11,4127.0,6278.0,314.0,1837.0
2020-05-12,4382.0,6563.0,319.0,1862.0
2020-05-13,4284.0,6879.0,329.0,2266.0
2020-05-14,4396.0,7134.0,353.0,2385.0
2020-05-15,4626.0,7479.0,356.0,2497.0
2020-05-16,4908.0,7805.0,363.0,2534.0
2020-05-17,5126.0,8068.0,373.0,2569.0
2020-05-18,5364.0,8371.0,382.0,2625.0
2020-05-19,5544.0,8809.0,393.0,2872.0
2020-05-20,5947.0,9283.0,403.0,2933.0
